Manufacturers Name,business name,date of accident,Time of Accident,AM/PM,vehicle year,make,model,state vehicle is registered in,address/location of accident,city,county,state,zip code,vehicle movment status,involved in the accident,number of vehicle involved,vehicle damage,Damage locations,other vehicle year,other vehicle model,other vehicle state registration,other vehicle movment status,other vehicle involved in accident,other vehicle number of vehicle involved,injury/death or property 1,injury/death or property 2,autonomus mode,accident decription,weather vehicle 1,weather vehicle 2,lighting vehicle 1,lighting vehicle 2,road surface vehicle 1,road surface vehicle 2,road conditions vehicle 1,road conditions vehicle 2,movment preceding collision vehicle 1,movment preceding collision vehicle 2,type of collsion vehcile 1,type of collsion vehcile 2,other factors,
"Delphi Automotive systems, LLC",-1,10/14/2014,07:27,1,2014,Audi,SQ5,-1,SAN ANTONIO ROAD (600 BLOCK),PALO ALTO ,Santa Clara,CA,94303,0,-1,2,-1,-1,2012,honda civic,-1,0,-1,2,-1,-1,0,"The Audi, in conventional mode, transitioned from Byron to San Antonio E/B and waited in the merge pocket for traffic to clear. After approximately 20 seconds of waiting stationary for traffic to clear, a Honda was observed to the left coming over the elevated center island. The Honda hit the right front of the Audi and continued to go over another center island at 25-30 mph. The Honda came to a stop approximately 75-100 yards from impact, heading W/B in the E/B lane. Audi vehicle damage includes the right fender and front bumper/fascia. As reported in the attached Traffic Collision Report 14-5925, the driver of the Honda was determined to have caused the accident by making an unsafe turning movement in violation of CVC 22107 and was served with a notice of priority re-examination of his driver’s license.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Google Auto LCC,Google,02/26/2015,-1,0,-1,Lexus,RX450,-1,El camino real and view st,Mountain view ,Santa Clara,CA,94040,0,-1,2,-1,-1,2015,Audi S6,-1,0,-1,2,-1,-1,1,"The Lexus AV was traveling northbound on El Camino Real in Autonomous Mode when an Audi sedan traveling westbound on View St. failed to come to a stop at the stop sign at the intersection of El Camino Real and View St. The Audi rolled through the stop sign and struck the right rear quarter panel and right rear wheel of the Lexus AV. Prior to the collision, the Lexus AV's autonomous technology began applying the brakes in response to its detection of the Audi's speed and trajectory. Just before the collision, the driver of the Lexus AV disengaged Autonomous Mode and took manual control of the vehicle in response to the application of the brakes by the Lexus AV autonomous technology.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Google Auto LCC,Google,04/07/2015,-1,0,2011,Lexus,RX450h,-1,Castro and El Camino,Mountain view ,Santa Clara,CA,94040,0,-1,2,-1,-1,2011,BMW 3 series,-1,0,-1,2,-1,-1,0,"The above identified Google Lexus autonomous vehicle(Google AV) was involved in an accident in Moutain view when travelling northbound on Castro St. and making a right turn onto El Camino eastbound. The Google AV was operating in Autonomous Mode at the time of accident. The Google AV was travelling northbound in the rightmost lane of Castro St. and came to a complete stop for  red light at the intersection of Castro St. and El Camino Real, The Google AV then proceeded to make a right turn on red by creeping forward to obtain a bolter field of view of cross traffic on El Camino Real approaching from the left. While creeping froward, the Google AV detected a vehicle started to Move (<1 MPH) when the vehicle following immediately behind it, which was also attempting to make a right turn onto El Camina Real, failed to brake sufficiently and struck the Google AV's bumper at approximately 5MPH. All occupants of both vehicles involved were uninjured in the collision. The Google AV sustained minimal body damage, and the other vehicle sustained no visible body damage.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Google Auto LCC,Google,04/27/2015,04:27,1,2015,Lexus,RX450H,-1,California Street & Shoreline Blvd,Mountain view ,Santa Clara,CA,94043,1,-1,2,-1,-1,2000,Toyota Camry,-1,0,-1,2,-1,-1,0,"Lexus RX450H (the ""AV"") in autonomous mode heading southbound on California St. in Mountain View, was stopped for a red light in the right lane (lane 2) at the intersection of California St. and Shoreline Blvd. A Toyota Camry immediately behind the AV attempted to pass the AV on its right in the bike lane, in order to make a right turn onto Shoreline Blyd. While passing the AV, the Toyota's driver's side mirror brushed one of the AV's sensors Located on the passenger's side of the AV. Neither vehicle was damaged,",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Google Auto LCC,Google Auto LCC,05/30/2015,12:00,1,2011,Lexus,RX450H,-1,920 Shoreline Blvd,Mountain view ,Santa Clara,CA,94041,1,-1,2,-1,-1,2003,Ford Expedition,-1,0,-1,2,-1,-1,0,"A Google Lexus model autonomous vehicle (""Google AV"") was travelling southbound on Shoreline Boulevard in Mountain View in
autonomous mode and was stopped behind traffic at a red light at the intersection of Shoreline Boulevard and El Camino Real. A Ford
Expedition approaching from behind collided with the rear bumper and sensor of the Google AV. The approximate speed of the Ford
Expedition at the time of impact was 1 mph,
There were no injuries reported at the scene by either party, The Google AV sustained minor damage to its rear sensor and bumper. There
was no visible damage to the Ford Expedition.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Google Auto LCC,Google Auto LCC,06/04/2015,08:54,0,2012,Lexus,RX450H,-1,California Ave & Rengstorff Ave,Mountain view ,Santa Clara,CA,94040,1,-1,2,-1,-1,2008,Honda Accord,-1,0,-1,2,-1,-1,0,"A Google Lexus model autonomous vehicle (""Google AV"") was travelling westbound on California St. in Mountain View in autonomous
mode and was stopped behind traffic at a red light at the intersection of California St, and Rengstorff Ave. A vehicle approaching from
behind collided with the rear bumper of the Google AV. The Google AV was stopped for approximately 17 seconds prior to the collision.
The approximate speed of the other vehicle at the time of impact was <1 mph.
There were no injures reported at the scene by either party. The Google AV sustained no damage and there was no visible damage to the
other vehicle.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Google Auto LCC,Google,06/18/2015,11:15,0,-1,Lexus,RX450H,-1,California and Bryant,Mountain view ,Santa Clara,CA,-1,1,-1,2,-1,-1,2013,Mazda 2,-1,0,-1,1,-1,-1,0,"A Google Lexus-model autonomous vehicle (""Google AV"") was traveling northbound on California St. in Mountain View in autonomous
mode and was stopped at a red light in the straight-only lane at the intersection of California St. and Bryant St. The lane to the left of the Google AV was a left-turn-only lane. The vehicle waiting immediately behind the Google AV in the straight-only lane began to move
forward when the green arrow left turn signal appeared (despite the signal for the straight-only lane remaining red) and collided with the
rear bumper of the Google AV. The Google AV had been stopped for about 11 seconds at the time of impact. The other vehicle was
traveling about 5 mph at the time of impact.

There were no injuries reported at the scene by either party. The Google AV sustained minor damage (scrapes) to its rear bumper. The
other vehicle sustained minor damage (scrapes) to its front bumper.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Google Auto LCC,Google,07/01/2015,05:16,1,2012,Lexus,RX450H,-1,Grant Rd,Mountain view ,Santa Clara,CA,94043,1,-1,2,-1,-1,2010,Nissan Altima XL,-1,0,-1,2,-1,-1,0,"A Google Lexus model autonomous vehicle (""Google AV"") was traveling northbound on Grant Rd. in Mountain View approaching the
intersection of Phyllis Ave. and Martens Ave. in autonomous mode. The two vehicles in front of the Google AV, the Google AV, and the
vehicle behind the Google AV were all traveling at a steady speed of ~15 mph. While approaching a green light intersection with stopped
traffic on the other side of the intersection, the first vehicle decelerated and came to a stop, keeping clear of the intersection. The vehicle directly in front of the Google AV and the Google AV also decelerated and came to a stop with adequate and similar stopping distances.
About 1 second later, the vehicle approaching from the rear struck the Google AV at -17mph and did not appear to decelerate prior to the
collision. At the time of the incident, the driver, co-driver, and rear passenger of the Google AV reported some whiplash. They were driven
by other team members to a local hospital, where they were evaluated by medical staff and cleared to return to work. The driver of the other
vehicle reported minor neck and back pain. The Google AV sustained minor damage to its rear bumper. The other vehicle sustained
significant damage to its front end.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Google Auto LCC,Google,08/20/2015,09:36,0,-1,Lexus,RX450H,-1,Shoreline Blvd & High School way,Mountain view ,Santa Clara,CA,94040,0,-1,2,-1,-1,2013,Tesla Model S,-1,0,-1,2,-1,-1,1,"A Google Lexus autonomous vehicle (""Google AV"") operating in autonomous mode and traveling northbound on Shoreline Blvd. in
Mountain View in lane two (the second of three lanes) was involved in an accident. As the Google AV approached the intersection of
Shoreline Blvd. and High School way, a pedestrian began to cross the northbound lanes of Shoreline Blvd. in the crosswalk traveling
westbound. The Google AV slowed to yield as it approached the crosswalk, and out of an abundance of caution the Google AV test driver
disengaged the autonomous technology and took control of the vehicle. A vehicle in lane three to the immediate right of, and traveling in the same direction as, the Google AV was already stopped and yielding the right of way to the pedestrian. A vehicle in the process of changing lanes from lane one into lane two and approaching from the rear struck the Google AV. The Google AV was travelling 5 mph at the time of impact, and braking to stop for the crosswalk. The other vehicle was travelling approximately 10 mph at the time of impact.

The Google AV test driver reported minor back pain and was taken to a local hospital by Google employees, where he was evaluated and
released by medical staff. The Google AV co-test driver did not report any injuries. The Google AV sustained minor damage to its rear left
bumper. The other vehicle sustained moderate damage to its front end and was towed from the scene. The driver of the other vehicle did
not report any injuries at the scene.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Google Auto LCC,Google Auto LCC,11/02/2015,02:30,1,2012,Lexus,RX450H,-1,Clark Ave and El Camino Real,Mountain view ,Santa Clara,CA,94040,1,-1,2,-1,-1,2000,BMW 328i,-1,0,-1,2,-1,-1,0,"A Google Lexus model autonomous vehicle (""Google AV"") in autonomous mode travelling northbound on Clark Ave in Mountain View
was involved in an accident. As the Google AV approached the intersection of Clark St. and El Camino Real it activated its turn signal to
indicate its intention to make a right turn on El Camino Real. The Google AV came to a complete stop at a red light at the intersection and
then began to slowly advance in order to get a better view of cross traffic on El Camino Real approaching from the left to determine
whether it was clear to make the right turn on red. A vehicle approaching from behind stopped and then rolled forward and collided with the
rear bumper of the Google AV. The approximate speed of the other vehicle at the time of impact was 4 MPH. The speed of the Google AV
at the time of impact was below 1 MPH.

There were no injuries reported at the scene by cither party. The Google AV sustained minor damage to the rear bumper. The other vehicle
sustained minor damage to the passenger side headlight, vehicle hood, and front bumper.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
